userId,movieId,rating
1,25,4.0
1,47,4.0
1,32,2.0
1,30,2.0
1,44,3.5
1,2,3.5
1,29,4.0
1,50,3.0
1,3,2.5
1,7,2.0
1,6,1.0
1,8,2.5
2,27,3.5
2,36,5.0
2,48,1.5
2,43,2.5
2,25,3.5
2,26,1.5
2,11,3.5
2,1,3.5
2,7,1.5
2,5,4.0
2,21,2.5
2,19,2.5
3,47,1.0
3,18,2.5
3,44,3.5
3,25,1.5
3,13,1.0
3,21,5.0
3,41,1.0
3,6,3.0
3,8,3.0
3,11,2.0
3,7,3.0
3,9,3.5
3,32,3.5
3,23,2.0
3,39,2.5
3,45,2.5
3,15,4.5
3,36,2.5
3,3,5.0
3,28,3.0
4,26,3.0
4,9,4.5
4,4,1.5
4,48,3.0
4,10,4.0
4,50,2.5
4,35,4.5
4,39,3.0
4,27,4.0
4,32,1.5
4,14,4.0
5,45,1.0
5,32,3.0
5,35,4.5
5,1,3.0
5,23,3.5
5,12,2.0
5,15,4.0
5,8,2.0
5,17,4.5
5,5,2.5
5,18,3.0
6,49,3.5
6,16,4.0
6,19,4.0
6,24,3.5
6,23,3.5
6,29,2.5
6,7,4.5
6,39,4.0
6,12,4.5
6,36,5.0
6,30,4.5
6,46,1.5
6,20,4.0
6,1,1.0
6,17,5.0
6,18,3.0
7,20,3.5
7,49,5.0
7,43,1.5
7,38,2.5
7,14,2.0
7,32,1.5
7,35,2.5
7,7,4.5
7,4,1.0
7,3,2.0
7,2,1.5
7,8,2.5
7,37,3.0
7,11,1.5
7,28,3.5
7,31,3.0
7,39,3.5
8,34,4.5
8,1,2.0
8,10,3.5
8,47,2.0
8,29,3.0
8,9,1.5
8,15,4.5
8,26,1.0
8,7,3.0
8,49,1.0
8,25,3.5
8,22,2.5
8,39,2.5
9,42,1.5
9,29,2.0
9,31,1.5
9,22,3.0
9,24,1.0
9,27,3.0
9,4,3.5
9,10,4.0
9,23,3.5
9,46,4.0
9,44,2.5
9,19,4.0
10,11,1.5
10,41,2.5
10,4,4.5
10,9,4.5
10,13,4.5
10,27,1.0
10,15,4.5
10,32,1.0
10,20,4.5
10,2,2.0
10,34,2.0
10,14,2.0
10,48,3.0
10,42,2.5
10,5,3.0
10,21,1.0
11,23,3.5
11,32,2.5
11,48,5.0
11,37,4.5
11,47,3.5
11,27,1.0
11,39,3.0
11,35,4.0
11,49,1.0
11,38,3.5
11,42,1.0
11,28,4.0
11,25,4.5
11,21,3.0
11,45,4.0
11,7,4.5
11,33,2.0
11,46,3.5
11,15,4.5
12,6,4.5
12,25,3.5
12,3,2.0
12,22,5.0
12,42,2.0
12,27,2.0
12,8,3.0
12,30,4.0
12,9,2.0
12,16,2.5
12,28,4.0
12,34,4.5
13,49,1.5
13,36,3.5
13,7,1.5
13,20,4.0
13,47,5.0
13,46,4.0
13,23,1.5
13,34,1.5
13,13,2.0
13,14,3.5
13,30,2.5
13,12,3.0
13,21,3.5
13,35,2.0
13,1,1.5
13,31,3.5
13,41,2.0
13,22,2.5
13,24,5.0
14,22,4.0
14,19,3.0
14,49,1.0
14,30,4.5
14,28,5.0
14,47,5.0
14,5,4.0
14,24,3.0
14,31,4.5
14,50,2.0
14,38,4.0
14,13,3.0
14,16,2.5
14,23,1.5
14,21,4.5
14,39,2.5
14,14,1.5
15,2,4.0
15,19,2.5
15,15,2.0
15,16,1.5
15,26,2.0
15,27,3.5
15,8,2.5
15,47,3.5
15,28,2.0
15,35,3.5
15,10,1.5
16,4,3.5
16,14,4.5
16,50,4.5
16,1,5.0
16,9,1.5
16,39,4.5
16,33,3.5
16,32,2.0
16,21,2.0
16,46,3.0
16,10,4.5
16,26,2.0
16,45,4.0
16,15,3.0
16,19,3.5
17,37,1.5
17,19,1.0
17,5,3.5
17,30,1.5
17,16,1.5
17,45,4.5
17,4,3.0
17,29,2.0
17,28,2.0
17,26,1.5
17,35,4.0
17,48,3.0
18,47,4.5
18,1,2.5
18,41,1.0
18,15,1.5
18,29,2.5
18,40,1.0
18,35,3.0
18,25,3.5
18,10,1.5
18,24,2.5
18,12,1.0
19,10,4.0
19,26,1.0
19,42,5.0
19,37,4.5
19,36,1.0
19,22,3.0
19,11,4.5
19,50,1.5
19,45,2.5
19,4,4.5
19,20,2.5
19,17,5.0
19,38,4.5
19,27,4.5
19,24,2.0
20,35,4.0
20,1,2.5
20,33,2.0
20,2,4.0
20,18,1.5
20,38,2.0
20,26,4.0
20,32,4.0
20,3,2.5
20,22,3.0
20,13,4.5
20,29,1.0
20,14,2.5
20,37,1.0
20,23,2.0
21,21,3.0
21,40,4.0
21,6,1.5
21,25,1.5
21,39,1.5
21,32,3.0
21,37,4.5
21,16,4.0
21,22,1.5
21,8,3.0
21,49,3.0
21,38,2.0
21,31,1.5
22,35,2.0
22,16,4.0
22,6,3.5
22,37,1.0
22,36,5.0
22,42,3.0
22,44,2.0
22,29,2.5
22,2,4.5
22,3,3.5
22,39,2.5
22,28,4.5
22,14,3.0
23,6,1.5
23,30,3.5
23,11,3.0
23,24,4.5
23,21,1.0
23,15,3.5
23,48,3.0
23,46,2.5
23,18,3.0
23,31,4.5
23,20,3.5
23,44,4.0
24,19,3.0
24,47,3.5
24,44,2.0
24,20,1.5
24,3,5.0
24,22,2.5
24,33,4.0
24,25,4.0
24,37,3.0
24,4,1.0
24,2,3.0
24,27,2.5
